method,source,hits_at_k,precision_at_k
adamic_adar,325,3,0.3
adamic_adar,326,1,0.1
adamic_adar,327,1,0.1
adamic_adar,328,3,0.3
adamic_adar,329,1,0.1
adamic_adar,331,1,0.1
adamic_adar,333,1,0.1
adamic_adar,334,5,0.5
adamic_adar,335,2,0.2
adamic_adar,336,2,0.2
adamic_adar,339,7,0.7
adamic_adar,340,6,0.6
adamic_adar,341,6,0.6
adamic_adar,344,2,0.2
adamic_adar,345,1,0.1
adamic_adar,346,3,0.3
adamic_adar,347,2,0.2
adamic_adar,348,3,0.3
adamic_adar,351,1,0.1
adamic_adar,352,1,0.1
adamic_adar,356,3,0.3
adamic_adar,363,1,0.1
adamic_adar,364,2,0.2
adamic_adar,365,3,0.3
adamic_adar,366,7,0.7
adamic_adar,367,1,0.1
adamic_adar,371,5,0.5
adamic_adar,374,1,0.1
adamic_adar,376,4,0.4
adamic_adar,381,1,0.1
adamic_adar,383,4,0.4
adamic_adar,387,4,0.4
adamic_adar,395,2,0.2
adamic_adar,398,1,0.1
adamic_adar,399,2,0.2
adamic_adar,400,2,0.2
adamic_adar,403,2,0.2
adamic_adar,404,2,0.2
adamic_adar,405,3,0.3
adamic_adar,406,3,0.3
adamic_adar,407,7,0.7
adamic_adar,410,1,0.1
adamic_adar,412,2,0.2
adamic_adar,414,1,0.1
adamic_adar,415,1,0.1
adamic_adar,416,1,0.1
adamic_adar,417,1,0.1
adamic_adar,423,2,0.2
adamic_adar,424,1,0.1
adamic_adar,425,4,0.4
adamic_adar,426,7,0.7
adamic_adar,427,2,0.2
adamic_adar,429,1,0.1
adamic_adar,430,3,0.3
adamic_adar,432,5,0.5
adamic_adar,434,1,0.1
adamic_adar,439,1,0.1
adamic_adar,440,1,0.1
adamic_adar,447,1,0.1
adamic_adar,454,4,0.4
adamic_adar,455,1,0.1
adamic_adar,456,1,0.1
adamic_adar,457,6,0.6
adamic_adar,458,1,0.1
adamic_adar,460,2,0.2
adamic_adar,461,2,0.2
adamic_adar,465,2,0.2
adamic_adar,467,3,0.3
adamic_adar,469,1,0.1
adamic_adar,479,2,0.2
adamic_adar,489,1,0.1
adamic_adar,493,1,0.1
adamic_adar,495,2,0.2
adamic_adar,499,3,0.3
adamic_adar,501,3,0.3
adamic_adar,511,1,0.1
